Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
13500,23,46986,Diesel,90,1,0,2000,3,1165
13750,23,72937,Diesel,90,1,0,2000,3,1165
13950,24,41711,Diesel,90,1,0,2000,3,1165
14950,26,48000,Diesel,90,0,0,2000,3,1165
13750,30,38500,Diesel,90,0,0,2000,3,1170
12950,32,61000,Diesel,90,0,0,2000,3,1170
16900,27,94612,Diesel,90,1,0,2000,3,1245
18600,30,75889,Diesel,90,1,0,2000,3,1245
21500,27,19700,Petrol,192,0,0,1800,3,1185
12950,23,71138,Diesel,69,0,0,1900,3,1105
20950,25,31461,Petrol,192,0,0,1800,3,1185
19950,22,43610,Petrol,192,0,0,1800,3,1185
19600,25,32189,Petrol,192,0,0,1800,3,1185
21500,31,23000,Petrol,192,1,0,1800,3,1185
22500,32,34131,Petrol,192,1,0,1800,3,1185
22000,28,18739,Petrol,192,0,0,1800,3,1185
22750,30,34000,Petrol,192,1,0,1800,3,1185
17950,24,21716,Petrol,110,1,0,1600,3,1105
16750,24,25563,Petrol,110,0,0,1600,3,1065
16950,30,64359,Petrol,110,1,0,1600,3,1105
15950,30,67660,Petrol,110,1,0,1600,3,1105
16950,29,43905,Petrol,110,0,1,1600,3,1170
15950,28,56349,Petrol,110,1,0,1600,3,1120
16950,28,32220,Petrol,110,1,0,1600,3,1120
16250,29,25813,Petrol,110,1,0,1600,3,1120
15950,25,28450,Petrol,110,1,0,1600,3,1120
17495,27,34545,Petrol,110,1,0,1600,3,1120
15750,29,41415,Petrol,110,1,0,1600,3,1120
16950,28,44142,Petrol,110,0,0,1600,3,1120
17950,30,11090,Petrol,110,1,0,1600,3,1120
12950,29,9750,Petrol,97,1,0,1400,3,1100
15750,22,35199,Petrol,97,1,0,1400,3,1100
15950,27,29510,Petrol,97,1,0,1400,3,1100
14950,26,32692,Petrol,97,1,0,1400,3,1100
15500,22,41000,Petrol,97,1,0,1400,3,1100
15750,26,43000,Petrol,97,0,0,1400,3,1100
15950,25,25000,Petrol,97,0,0,1400,3,1100
14950,23,10000,Petrol,97,1,0,1400,3,1100
15750,32,25329,Petrol,97,1,0,1400,3,1100
14750,27,27500,Petrol,97,0,0,1400,3,1100
13950,22,49059,Petrol,97,0,0,1400,3,1100
16750,27,44068,Petrol,97,1,0,1400,3,1100
13950,22,46961,Petrol,97,0,0,1400,3,1100
16950,27,110404,Diesel,90,0,0,2000,5,1255
16950,22,100250,Diesel,90,0,0,2000,5,1255
19000,23,84000,Diesel,90,0,0,2000,5,1270
17950,27,79375,Diesel,90,1,0,2000,5,1255
15800,22,75048,Petrol,97,1,0,1400,5,1110
17950,22,72215,Diesel,90,1,0,2000,5,1255
21950,31,64982,Petrol,192,1,0,1800,5,1195
17950,22,62636,Diesel,90,1,0,2000,5,1255
15750,30,57086,Petrol,97,1,0,1400,5,1110
20500,26,56000,Petrol,110,1,1,1600,5,1180
21950,27,49866,Petrol,192,1,0,1800,5,1195
15500,25,49163,Petrol,110,0,1,1600,5,1165
13250,32,45725,Petrol,110,1,0,1600,5,1075
15250,28,43210,Petrol,97,0,0,1400,5,1110
15250,26,43000,Petrol,97,0,0,1400,5,1110
18950,23,39704,Petrol,110,1,1,1600,5,1180
15999,30,38950,Petrol,110,1,0,1600,5,1130
14950,22,37400,Petrol,97,1,0,1400,5,1110
16500,27,37177,Petrol,110,0,0,1600,5,1130
18750,31,36544,Petrol,110,1,0,1600,5,1130
17950,30,33511,Petrol,110,1,0,1600,5,1130
17950,27,32809,Petrol,97,1,0,1400,5,1110
16950,26,32181,Petrol,110,1,0,1600,5,1075
18950,28,30993,Petrol,110,1,0,1600,5,1130
14950,22,30400,Petrol,97,1,0,1400,5,1110
22250,22,30000,Diesel,110,1,0,2000,5,1275
15950,25,29719,Petrol,97,1,0,1400,5,1110
15950,28,29206,Petrol,97,1,0,1400,5,1110
12995,32,29198,Petrol,97,1,0,1400,5,1060
18950,28,28817,Petrol,110,1,0,1598,5,1130
15750,23,28227,Petrol,97,1,0,1400,5,1110
19950,28,28000,Petrol,110,0,0,1600,5,1130
16950,23,28000,Petrol,110,1,0,1600,5,1115
18750,31,25266,Petrol,110,1,0,1600,5,1130
18450,27,23489,Petrol,110,0,0,1600,5,1115
16895,29,22575,Petrol,110,1,0,1600,5,1115
14900,30,22000,Petrol,97,1,0,1400,5,1110
18950,25,20019,Petrol,110,1,1,1600,5,1180
17250,29,20000,Petrol,110,1,0,1600,5,1115
15450,25,17003,Petrol,97,1,0,1400,5,1110
17950,31,16238,Petrol,110,1,1,1600,5,1180
16650,25,15414,Petrol,97,1,0,1400,5,1110
17450,28,8537,Petrol,110,1,0,1600,5,1130
14900,30,7000,Petrol,97,1,0,1400,5,1100
17950,20,66966,Diesel,90,1,0,2000,3,1245
15950,19,51884,Petrol,97,1,0,1400,3,1100
21950,19,50005,Diesel,110,1,0,2000,3,1265
16450,20,48110,Petrol,97,1,0,1400,3,1100
22250,20,37500,Diesel,90,1,0,2000,3,1260
19950,16,34472,Diesel,90,1,0,1995,3,1260
15950,20,33329,Petrol,97,1,0,1400,3,1100
18900,20,31850,Petrol,110,0,0,1600,3,1120
19950,17,30351,Diesel,90,1,0,1995,3,1260
15950,19,29435,Petrol,97,1,0,1400,3,1100
15950,19,25948,Petrol,97,1,0,1400,3,1100
18750,11,24500,Petrol,110,1,0,1600,3,1120
17450,18,23902,Petrol,97,1,0,1400,3,1100
18990,20,23175,Petrol,110,1,0,1600,3,1120
16250,19,19200,Petrol,97,1,0,1400,3,1100
18500,13,18000,Petrol,71,0,0,1400,3,1125
18500,11,16123,Petrol,110,1,0,1600,3,1105
19450,11,14635,Petrol,110,1,1,1600,3,1155
16950,19,13748,Petrol,97,1,0,1400,3,1100
18800,14,11500,Petrol,110,1,0,1600,3,1045
17450,17,10000,Petrol,97,1,0,1400,3,1100
17950,20,7187,Petrol,110,1,0,1600,3,1105
32500,4,1,Diesel,116,0,0,2000,5,1480
31000,4,4000,Diesel,116,1,0,2000,5,1480
31275,4,1500,Diesel,116,1,0,2000,5,1480
24950,8,13253,Diesel,116,1,0,2000,5,1320
24950,8,13253,Diesel,116,1,0,2000,5,1320
22950,7,10000,Diesel,116,1,0,2000,5,1270
24990,8,6000,Diesel,90,1,0,2000,5,1280
21950,8,10841,Diesel,90,1,0,2000,5,1270
17900,7,1,Petrol,110,1,0,1600,3,1105
19250,20,63000,Diesel,90,1,0,2000,5,1255
22250,17,57313,Diesel,110,1,0,2000,5,1275
18950,13,57037,Petrol,110,0,0,1600,5,1115
19950,19,51099,Diesel,90,1,0,2000,5,1255
16350,14,40010,Petrol,110,1,0,1600,5,1115
18950,20,39115,Petrol,110,1,0,1600,5,1130
16950,17,36012,Petrol,110,0,0,1600,5,1130
21750,16,36000,Petrol,110,1,0,1600,5,1130
15950,20,36000,Petrol,110,1,0,1600,5,1075
16500,20,35000,Petrol,97,1,0,1400,5,1110
17950,17,33740,Petrol,97,1,0,1400,5,1135
15850,13,33477,Petrol,110,1,0,1600,5,1075
16250,20,32627,Petrol,97,1,0,1400,5,1110
15950,20,29797,Petrol,97,1,0,1400,5,1110
16250,19,29441,Petrol,97,1,0,1400,5,1110
15950,13,29371,Petrol,110,1,0,1600,4,1105
16500,20,29000,Petrol,97,0,0,1400,5,1110
16500,19,27821,Petrol,97,0,0,1400,5,1110
18450,19,27371,Petrol,97,0,0,1400,5,1135
16250,13,25170,Petrol,110,1,0,1600,5,1105
23000,11,25000,Diesel,116,1,0,2000,5,1320
19900,20,23000,Petrol,110,1,0,1600,5,1130
16450,20,22588,Petrol,97,1,0,1400,5,1110
23950,19,21684,Petrol,192,1,0,1800,5,1185
19950,13,21428,Petrol,110,1,0,1600,5,1130
18500,16,20629,Petrol,110,1,0,1600,4,1090
18950,15,20270,Petrol,110,1,0,1600,5,1130
16450,16,20105,Petrol,97,0,0,1400,5,1110
20500,20,20000,Petrol,110,0,1,1600,5,1165
24500,13,19988,Petrol,110,1,0,1600,5,1130
19450,19,18328,Petrol,110,0,0,1600,5,1130
20950,14,17896,Petrol,110,1,1,1600,4,1150
17200,20,17300,Petrol,97,1,0,1400,5,1110
19950,19,17038,Petrol,110,0,0,1600,5,1130
18450,10,13747,Petrol,97,1,0,1400,5,1110
19500,12,13634,Petrol,110,1,0,1600,5,1115
21750,13,13178,Petrol,110,1,0,1600,5,1130
16868,15,13157,Petrol,97,1,0,1400,4,1085
19500,16,13000,Petrol,110,1,0,1600,4,1105
18900,11,12500,Petrol,110,1,0,1600,5,1115
19750,17,11999,Petrol,110,1,0,1600,5,1130
19750,16,11754,Petrol,110,0,1,1600,5,1180
18950,16,11000,Petrol,110,1,0,1600,4,1105
20750,17,10000,Petrol,110,0,0,1598,5,1105
19600,9,7650,Petrol,110,1,0,1600,5,1115
19500,14,6500,Petrol,110,1,0,1600,4,1100
17650,11,6155,Petrol,97,1,0,1400,5,1110
19950,14,6000,Petrol,110,0,0,1600,5,1130
19950,14,5459,Petrol,110,1,0,1600,5,1130
20950,14,5278,Petrol,110,1,1,1600,4,1150
20500,12,5000,Petrol,110,1,0,1600,5,1130
17795,9,1,Petrol,98,1,0,1400,4,1065
18245,9,1,Petrol,110,1,0,1600,5,1075
23750,8,11000,Petrol,110,1,0,1600,5,1130
19500,8,10077,Petrol,97,1,0,1400,5,1110
18950,8,10000,Petrol,97,1,0,1400,5,1110
21950,8,9788,Petrol,110,1,0,1600,5,1130
19950,8,8574,Petrol,110,1,0,1600,5,1130
18950,8,7000,Petrol,110,0,0,1600,5,1115
19950,7,6250,Petrol,110,1,0,1600,5,1115
21950,8,5000,Petrol,110,1,0,1600,5,1130
22500,6,3000,Petrol,110,0,0,1600,5,1130
18500,7,2000,Petrol,110,0,0,1600,5,1075
18700,7,450,Petrol,97,1,0,1400,5,1110
21125,2,225,Petrol,97,1,0,1400,5,1110
21500,2,15,Petrol,110,1,0,1600,5,1130
17795,1,1,Petrol,98,1,0,1400,4,1100
18245,1,1,Petrol,110,1,0,1600,5,1075
6950,43,243000,Diesel,69,0,0,1900,3,1110
9500,38,180638,Diesel,90,0,0,2000,4,1160
11950,40,179860,Diesel,90,1,0,2000,5,1205
7750,43,178858,CNG,110,0,0,1600,3,1084
11950,40,161000,Diesel,69,1,0,1900,3,1105
4350,44,158320,Diesel,69,0,0,1800,5,1110
4750,44,131273,Diesel,69,1,0,1800,5,1110
11750,40,130062,Diesel,69,1,0,1900,5,1140
13250,41,123425,Diesel,69,1,0,1900,5,1140
11950,37,118217,Petrol,110,1,0,1600,5,1075
11900,44,110000,Diesel,69,1,0,1900,5,1095
14750,39,108847,Diesel,90,1,0,2000,5,1205
9950,42,105699,Petrol,97,1,0,1400,3,1025
11950,39,98823,CNG,110,1,0,1600,5,1119
11495,44,96829,Petrol,110,1,0,1600,5,1075
11250,40,96518,Petrol,97,1,0,1400,3,1025
10500,42,92204,Petrol,110,1,0,1600,5,1075
10450,35,91456,Diesel,69,1,0,1900,3,1110
12950,43,89968,Diesel,69,1,0,1900,5,1140
11500,44,89757,Petrol,110,1,0,1600,3,1045
12500,40,85389,Petrol,110,1,0,1600,5,1075
10950,43,85017,Petrol,97,0,0,1400,5,1060
11450,41,84312,Petrol,110,0,0,1600,5,1080
11950,37,82743,CNG,110,1,0,1600,5,1121
13250,41,81106,Diesel,69,1,0,1900,5,1140
14750,40,80425,Diesel,90,1,0,2000,5,1205
11790,34,78677,Petrol,110,1,1,1600,5,1105
11450,40,78425,Petrol,110,1,0,1600,5,1075
13500,33,78108,Diesel,90,1,0,2000,3,1170
10950,33,77321,Petrol,110,1,0,1600,5,1075
13500,33,75699,Diesel,69,0,0,1900,3,1105
10950,41,75697,Petrol,97,1,0,1400,3,1025
10950,44,74846,Petrol,97,1,0,1400,3,1025
12950,38,74319,Petrol,110,1,0,1600,5,1075
11950,43,74285,Petrol,110,1,0,1600,5,1075
12450,44,74172,Petrol,110,1,0,1600,5,1615
11950,40,73042,Petrol,110,1,0,1598,5,1075
14950,44,71793,CNG,110,1,0,1600,4,1067
12450,35,71200,Petrol,110,1,0,1600,5,1075
12950,38,67805,Petrol,110,1,0,1600,5,1075
11950,35,65988,Petrol,110,1,0,1600,3,1040
11690,34,65345,Petrol,97,1,0,1400,5,1060
12450,42,64564,Petrol,110,1,0,1600,5,1080
12750,36,63459,Petrol,97,1,0,1400,5,1060
11925,44,63451,Petrol,97,0,0,1400,3,1025
12950,33,62000,Petrol,110,1,0,1600,5,1075
11950,42,61300,Petrol,97,1,0,1400,3,1030
12900,41,61200,Petrol,110,1,0,1600,3,1045
11900,41,61000,Petrol,110,0,0,1600,5,1075
11650,38,60829,Petrol,110,1,0,1600,5,1075
10950,44,60500,Petrol,110,0,0,1600,5,1075
13950,35,59500,Diesel,69,1,0,1900,3,1110
13950,44,59000,Petrol,110,0,1,1600,5,1110
11950,40,58954,Petrol,110,1,0,1600,5,1080
10950,38,58798,Petrol,110,1,0,1600,5,1075
12450,38,58363,Petrol,110,1,0,1600,3,1055
11950,43,58277,Petrol,110,1,0,1600,3,1045
13500,33,57711,Diesel,90,1,0,2000,3,1165
11690,33,57269,Petrol,110,1,0,1600,5,1075
13500,39,56001,Petrol,110,1,0,1600,5,1075
11950,42,55968,Petrol,110,0,0,1600,3,1050
12900,39,55678,Petrol,110,1,0,1600,4,1030
13500,43,55539,Petrol,110,1,0,1600,5,1085
11750,42,55400,Petrol,110,0,0,1600,5,1075
11750,33,55350,Petrol,110,0,0,1600,5,1075
10850,43,54600,Petrol,110,0,0,1600,4,1030
11750,43,53773,Petrol,110,1,0,1600,5,1075
14950,42,53719,Petrol,110,1,1,1600,5,1105
9940,39,53644,Petrol,110,1,0,1600,5,1075
12900,42,53350,Petrol,110,0,0,1600,5,1075
13500,38,53000,Petrol,110,1,0,1600,5,1075
11750,44,52084,Petrol,97,1,0,1400,3,1025
11950,44,52000,Petrol,97,0,0,1400,3,1025
13450,33,51945,Petrol,110,1,0,1600,5,1075
11950,41,51732,Petrol,97,1,0,1400,3,1025
12495,39,50873,Petrol,110,1,0,1600,5,1075
13500,41,50856,Petrol,110,0,0,1600,4,1030
12750,40,50640,Petrol,110,1,0,1600,5,1075
12000,39,50000,Petrol,97,1,0,1400,5,1060
11950,38,49500,Petrol,110,1,0,1600,5,1075
12495,44,49332,Petrol,110,1,0,1600,5,1080
12450,34,49291,Petrol,110,1,0,1600,3,1040
14750,40,48952,Diesel,90,1,0,2000,5,1205
10950,39,48945,Petrol,110,0,0,1600,3,1040
13500,33,48928,Diesel,69,1,0,1900,3,1105
12950,38,48197,Petrol,110,1,0,1600,5,1075
13500,35,48052,Diesel,69,1,0,1900,3,1105
13450,34,48011,Petrol,110,1,0,1600,4,1030
13500,43,48000,Petrol,110,1,0,1600,5,1075
11480,41,47350,Petrol,110,1,0,1600,5,1075
13450,39,46821,Petrol,97,1,0,1400,5,1060
11495,39,46694,Petrol,110,0,0,1600,3,1040
12750,43,46515,Petrol,97,0,0,1400,5,1025
14990,38,46327,Petrol,110,1,0,1600,3,1055
12950,35,46304,Petrol,97,1,0,1400,5,1060
12950,40,45886,Petrol,110,1,0,1600,5,1080
12850,39,45713,Petrol,97,1,0,1400,5,1085
13950,40,45600,Petrol,110,1,1,1600,5,1105
11950,41,45287,Petrol,110,1,0,1600,5,1075
12950,39,45081,Petrol,110,1,0,1600,5,1075
11700,40,44830,Petrol,110,1,0,1600,5,1075
9950,37,44757,Petrol,97,0,0,1400,3,1025
11895,44,44218,Petrol,97,1,0,1400,5,1060
12950,43,43632,Petrol,110,1,0,1600,5,1075
12500,36,43427,Petrol,110,1,0,1600,3,1040
13875,39,43254,Petrol,110,1,0,1600,5,1075
10500,35,43000,Petrol,110,0,0,1600,3,1050
12295,33,42823,Petrol,110,1,0,1600,5,1075
13950,42,42560,Petrol,110,1,0,1600,5,1080
10950,38,41754,Petrol,110,0,0,1600,3,1040
12950,44,41499,CNG,110,1,0,1600,5,1103
12850,40,41339,Petrol,110,1,0,1600,5,1080
13995,35,41000,Petrol,110,1,0,1600,5,1075
13750,39,40000,Petrol,110,1,0,1600,3,1055
12750,37,39757,Petrol,110,1,0,1600,5,1075
12500,41,39659,Petrol,110,1,0,1600,3,1045
13950,43,39650,Petrol,110,0,0,1600,3,1055
11500,39,39524,Petrol,97,1,0,1398,3,1025
13950,44,39516,Petrol,97,1,0,1400,5,1060
11895,41,39439,Petrol,97,0,0,1400,5,1060
9950,44,39000,Petrol,97,1,0,1400,3,1025
13500,42,38932,Petrol,110,1,0,1600,3,1040
11450,37,38812,Petrol,97,0,0,1400,3,1025
12450,42,38665,Petrol,110,1,0,1600,5,1075
12950,40,38653,Petrol,110,1,0,1600,5,1080
13995,44,38461,Petrol,110,1,0,1600,5,1080
11750,42,38078,Petrol,97,0,0,1400,3,1025
11650,39,37782,Petrol,97,1,0,1400,5,1060
9950,43,37576,Petrol,97,0,0,1400,3,1030
13950,41,37533,Petrol,110,1,0,1600,5,1075
12950,44,37389,Petrol,110,1,0,1600,5,1080
10950,38,37320,Petrol,97,1,0,1400,3,1025
9900,42,37000,Petrol,97,1,0,1400,3,1025
11950,44,37000,Petrol,110,0,0,1600,4,1075
11990,40,36566,Petrol,110,0,0,1600,5,1090
10750,36,36269,Petrol,110,1,0,1600,5,1075
13950,37,36074,Petrol,110,1,1,1600,5,1075
11250,44,36066,Petrol,110,1,0,1600,3,1040
12950,39,34599,Petrol,110,1,0,1600,5,1075
11950,41,34000,Petrol,110,1,0,1600,5,1075
10950,42,33623,Petrol,97,1,0,1400,3,1025
12950,33,33591,Petrol,110,1,0,1600,5,1075
12950,35,33258,Petrol,110,1,0,1600,5,1075
11695,43,33113,Petrol,110,1,0,1600,5,1075
11000,41,33000,Petrol,110,1,1,1600,5,1075
13950,35,32941,Petrol,110,1,0,1600,5,1080
11950,38,32781,Petrol,110,0,0,1600,5,1075
11750,40,32532,Petrol,110,1,0,1600,3,1040
12400,34,32431,Petrol,97,1,0,1400,5,1060
12500,35,32000,Petrol,110,0,0,1600,3,1040
12900,33,31000,Petrol,110,1,0,1600,5,1075
12200,41,30989,Petrol,110,0,0,1600,3,1045
12750,43,30742,Petrol,110,1,0,1600,3,1040
11950,42,30190,Petrol,110,1,0,1600,5,1075
11900,41,29716,Petrol,116,1,0,1600,5,1075
11950,44,29716,Petrol,110,1,1,1600,3,1070
14950,42,29640,Petrol,110,0,0,1600,3,1055
11950,41,29056,Petrol,97,1,0,1400,5,1060
12950,33,28715,Petrol,110,1,0,1600,5,1075
14950,41,28571,Petrol,110,0,0,1600,5,1090
13450,40,28362,Petrol,110,1,0,1600,3,1040
13750,38,28150,Petrol,110,1,0,1600,5,1075
12950,43,27301,Petrol,110,1,0,1600,3,1040
12750,33,27240,Petrol,110,1,0,1600,5,1075
11895,39,27170,Petrol,97,1,0,1400,5,1060
9950,42,27141,Petrol,97,1,0,1400,5,1060
12450,38,26262,Petrol,110,1,0,1600,5,1075
12500,38,26000,Petrol,97,1,0,1400,5,1060
14950,43,25228,Petrol,110,1,0,1600,3,1045
13750,39,25062,Petrol,110,1,0,1600,5,1080
12695,39,24723,Petrol,110,1,1,1600,4,1060
14990,33,24650,Petrol,110,1,0,1600,3,1055
12750,43,24553,Petrol,110,1,0,1600,5,1080
14350,41,24475,Petrol,110,1,0,1600,5,1030
12950,39,24444,Petrol,110,1,0,1600,3,1040
11500,35,24011,Petrol,97,0,0,1400,3,1025
11950,41,24000,Petrol,97,1,0,1400,3,1025
13450,40,23616,Petrol,110,1,0,1600,5,1075
12900,38,22865,Petrol,110,1,0,1600,5,1075
10500,41,22780,Petrol,86,1,0,1300,5,1035
10950,35,21904,Petrol,97,0,0,1400,3,1025
11950,41,21651,Petrol,97,0,0,1400,3,1025
11450,37,21500,Petrol,110,1,0,1600,5,1030
13250,44,21027,Petrol,110,1,0,1600,5,1080
10250,39,18500,Petrol,110,0,0,1600,4,1030
13995,35,18000,Petrol,110,1,0,1600,5,1075
11950,40,17051,Petrol,97,0,0,1400,5,1060
13250,33,16512,Petrol,97,1,0,1400,5,1085
12950,40,16325,Petrol,110,1,0,1600,5,1080
11750,38,16000,Petrol,97,1,0,1400,5,1060
11500,39,12000,Petrol,110,1,0,1600,5,1075
13500,43,10000,Petrol,97,1,0,1400,5,1060
6500,53,216000,Diesel,69,0,0,1900,3,1110
6400,51,198167,Diesel,69,0,0,1900,4,1095
7000,53,176000,Diesel,69,0,0,1900,3,1105
7750,54,174139,Diesel,72,1,0,2000,4,1100
8900,45,174000,Diesel,69,1,0,1900,5,1095
8500,55,150000,CNG,110,1,0,1600,3,1075
8950,54,149329,Diesel,72,1,0,2000,5,1135
9900,51,146736,Petrol,110,1,0,1600,5,1080
10250,53,143513,Diesel,69,0,0,1900,5,1140
9250,48,142130,CNG,110,0,0,1600,5,1119
7750,48,140700,Diesel,69,1,0,1900,5,1110
9450,54,138394,Diesel,69,1,0,1900,4,1095
7750,55,137000,Diesel,72,1,0,2000,5,1135
8250,52,135258,Diesel,69,1,0,1900,5,1140
9950,49,131364,Petrol,110,1,0,1600,5,1075
4450,56,129155,Diesel,69,0,0,1800,5,1110
9950,50,126110,Petrol,110,0,0,1600,3,1055
9000,48,119742,Petrol,110,1,0,1600,5,1080
9950,53,117913,Diesel,69,1,0,1900,5,1110
12450,47,117430,Diesel,90,1,0,2000,3,1165
10500,55,117175,Petrol,110,1,0,1600,4,1035
10750,54,115558,Petrol,110,1,0,1600,4,1035
8950,53,115113,Petrol,97,1,0,1400,3,1025
10500,54,115046,Diesel,69,1,0,1900,5,1140
5150,56,113997,Diesel,72,1,0,2000,5,1135
10950,49,107859,Petrol,97,0,0,1400,5,1060
9450,52,104805,Petrol,97,1,0,1400,3,1025
9950,54,103454,Petrol,110,1,0,1600,5,1075
10950,51,103018,Diesel,69,0,0,1900,5,1140
11900,47,102352,Petrol,110,1,0,1600,5,1080
9950,50,102030,Petrol,97,1,0,1400,5,1060
11950,54,101352,Petrol,110,0,0,1600,5,1080
7900,50,99865,Petrol,110,1,0,1600,4,1035
10950,52,99323,Petrol,110,1,0,1600,3,1055
8950,48,98100,Diesel,69,1,0,1900,5,1140
11950,51,98040,Petrol,110,0,0,1600,5,1080
10900,49,97600,Petrol,110,1,0,1600,3,1045
9950,55,97234,Petrol,110,0,0,1600,5,1080
9950,51,96135,Diesel,72,0,0,2000,3,1115
10950,54,96100,Petrol,110,1,0,1600,5,1080
8950,55,94401,Diesel,72,0,0,2000,3,1115
8950,55,94122,Petrol,86,1,0,1300,3,1015
10500,49,91340,Petrol,110,1,0,1600,3,1055
8950,53,90200,Petrol,97,0,0,1400,3,1025
9250,53,90097,Diesel,69,1,0,1900,5,1140
11500,48,89049,Petrol,97,1,0,1400,5,1060
9750,52,89000,Petrol,110,0,0,1600,5,1075
9950,45,87274,Petrol,110,1,0,1600,3,1040
11450,49,86221,Petrol,110,0,0,1600,3,1045
12500,54,84598,Petrol,110,0,0,1600,5,1075
10500,50,83567,Petrol,110,0,0,1600,5,1075
12950,50,83106,Petrol,110,1,0,1600,5,1075
12200,50,82805,Petrol,110,1,0,1600,3,1040
10950,50,82735,Petrol,97,1,0,1400,3,1030
10950,54,81905,Petrol,110,1,0,1600,5,1105
11290,49,80320,Petrol,110,1,1,1600,3,1070
10750,49,80090,Petrol,97,1,0,1400,3,1030
10895,53,79800,Petrol,110,0,0,1600,5,1075
11500,47,78785,CNG,110,1,0,1600,5,1119
9750,48,78600,Petrol,110,1,0,1600,5,1075
10250,55,77780,Petrol,110,0,0,1600,3,1040
12500,49,77648,Petrol,110,0,0,1600,4,1030
11950,54,77270,Petrol,110,1,0,1600,4,1035
10750,50,76167,Petrol,97,1,0,1400,5,1060
11450,46,75249,Petrol,110,1,0,1600,4,1035
11950,54,75231,Petrol,110,1,0,1600,5,1080
11750,48,75045,Petrol,110,1,0,1600,3,1055
10950,50,74849,Petrol,110,1,1,1600,4,1060
11950,55,74715,Petrol,110,1,0,1600,5,1080
10995,49,74656,Diesel,69,0,0,1900,3,1105
11450,56,74500,Petrol,97,0,0,1400,3,1025
8900,49,74494,Petrol,110,1,0,1600,5,1075
10500,50,73634,Petrol,110,0,0,1587,5,1075
11750,47,73403,Petrol,110,1,0,1600,5,1075
11450,49,73175,Petrol,97,1,0,1400,3,1030
12000,52,73000,Petrol,110,0,0,1600,3,1055
11950,50,72242,Petrol,110,0,1,1600,3,1070
9850,53,72000,Petrol,97,1,0,1400,3,1025
10950,54,71725,Petrol,110,1,0,1600,4,1035
10950,54,71276,Petrol,110,0,0,1600,5,1080
8695,50,70440,Diesel,69,1,0,1900,3,1105
10990,53,70239,Petrol,110,0,0,1600,3,1040
9500,55,69813,Petrol,97,1,0,1400,3,1025
11950,49,69659,Petrol,86,0,0,1300,3,1025
10750,46,69574,Petrol,97,0,0,1400,5,1065
8750,47,69000,Diesel,69,1,0,1900,5,1140
8750,49,68565,Petrol,110,1,0,1600,4,1030
11450,55,68520,Diesel,72,1,0,2000,3,1115
9950,46,68414,Petrol,97,0,0,1400,3,1025
11950,56,66777,Petrol,110,0,0,1600,5,1090
13950,52,66527,Petrol,110,1,0,1600,5,1080
11250,54,66063,Petrol,110,1,0,1600,5,1090
10900,50,65471,Petrol,97,1,0,1400,5,1060
9750,56,65400,Petrol,97,1,0,1400,3,1025
9950,52,65170,Petrol,97,1,0,1400,3,1025
11950,56,65000,Petrol,110,1,0,1600,5,1075
10450,48,64193,Petrol,110,1,0,1600,3,1040
8950,54,64000,Petrol,97,1,0,1400,3,1025
10250,54,63792,Petrol,110,1,0,1600,5,1075
9930,53,63635,Petrol,110,1,0,1600,4,1035
10500,54,63135,Petrol,110,1,0,1600,3,1050
11950,54,63123,Petrol,110,1,0,1600,4,1035
11500,48,63000,Diesel,69,1,0,1900,5,1140
11500,55,63000,Petrol,110,0,0,1600,4,1035
11450,54,62987,Petrol,110,0,0,1600,5,1080
9900,56,62751,Petrol,110,0,0,1600,3,1050
9500,54,62519,Petrol,97,0,0,1400,3,1025
10500,50,62280,Petrol,97,1,0,1400,5,1060
10750,50,61672,Petrol,110,0,0,1600,5,1075
8950,54,61000,Diesel,69,0,0,2000,5,1140
12000,56,61000,Petrol,110,1,0,1600,3,1050
9940,53,60558,Petrol,110,1,0,1600,4,1105
10950,47,60348,Petrol,110,0,0,1600,4,1030
10750,54,60239,Petrol,110,1,0,1600,5,1075
9799,51,59000,Petrol,97,1,0,1400,3,1025
11750,51,58761,Petrol,97,0,0,1300,5,1060
11950,54,58745,Petrol,110,1,0,1600,4,1035
11250,52,58596,Petrol,110,1,0,1600,3,1045
11750,54,58530,Petrol,110,0,0,1600,5,1075
10950,55,58377,Petrol,110,1,0,1600,3,1050
11250,56,58142,Petrol,110,1,0,1600,5,1080
